('monday_small_room_1_8', 'empty')
('monday_small_room_1_9', 'empty')
('monday_small_room_1_10', 'empty')
('monday_small_room_1_11', 'empty')
('monday_small_room_1_12', 'empty')
('monday_small_room_1_13', 'empty')
('monday_small_room_1_14', 'empty')
('monday_small_room_1_15', 'empty')
('monday_small_room_1_16', 'empty')
('monday_small_room_1_17', 'empty')
('monday_small_room_1_18', 'empty')
('monday_small_room_1_19', 'empty')
('monday_small_room_1_20', 'empty')
('monday_medium_room_1_8', 'empty')
('monday_medium_room_1_9', 'empty')
('monday_medium_room_1_10', 'empty')
('monday_medium_room_1_11', 'empty')
('monday_medium_room_1_12', 'empty')
('monday_medium_room_1_13', 'empty')
('monday_medium_room_1_14', 'empty')
('monday_medium_room_1_15', 'empty')
('monday_medium_room_1_16', 'empty')
('monday_medium_room_1_17', 'empty')
('monday_medium_room_1_18', 'empty')
('monday_medium_room_1_19', 'empty')
('monday_medium_room_1_20', 'empty')
('monday_medium_room_2_8', 'empty')
('monday_medium_room_2_9', 'empty')
('monday_medium_room_2_10', 'empty')
('monday_medium_room_2_11', 'empty')
('monday_medium_room_2_12', 'empty')
('monday_medium_room_2_13', 'empty')
('monday_medium_room_2_14', 'empty')
('monday_medium_room_2_15', 'empty')
('monday_medium_room_2_16', 'empty')
('monday_medium_room_2_17', 'empty')
('monday_medium_room_2_18', 'empty')
('monday_medium_room_2_19', 'empty')
('monday_medium_room_2_20', 'empty')
('monday_big_room_1_8', 'empty')
('monday_big_room_1_9', 'empty')
('monday_big_room_1_10', 'empty')
('monday_big_room_1_11', 'empty')
('monday_big_room_1_12', 'empty')
('monday_big_room_1_13', 'empty')
('monday_big_room_1_14', 'empty')
('monday_big_room_1_15', 'empty')
('monday_big_room_1_16', 'empty')
('monday_big_room_1_17', 'empty')
('monday_big_room_1_18', 'empty')
('monday_big_room_1_19', 'empty')
('monday_big_room_1_20', 'empty')
('tuesday_small_room_1_8', 'empty')
('tuesday_small_room_1_9', 'empty')
('tuesday_small_room_1_10', 'empty')
('tuesday_small_room_1_11', 'empty')
('tuesday_small_room_1_12', 'empty')
('tuesday_small_room_1_13', 'empty')
('tuesday_small_room_1_14', 'empty')
('tuesday_small_room_1_15', 'empty')
('tuesday_small_room_1_16', 'empty')
('tuesday_small_room_1_17', 'empty')
('tuesday_small_room_1_18', 'empty')
('tuesday_small_room_1_19', 'empty')
('tuesday_small_room_1_20', 'empty')
('tuesday_medium_room_1_8', 'empty')
('tuesday_medium_room_1_9', 'empty')
('tuesday_medium_room_1_10', 'empty')
('tuesday_medium_room_1_11', 'empty')
('tuesday_medium_room_1_12', 'empty')
('tuesday_medium_room_1_13', 'empty')
('tuesday_medium_room_1_14', 'empty')
('tuesday_medium_room_1_15', 'empty')
('tuesday_medium_room_1_16', 'empty')
('tuesday_medium_room_1_17', 'empty')
('tuesday_medium_room_1_18', 'empty')
('tuesday_medium_room_1_19', 'empty')
('tuesday_medium_room_1_20', 'empty')
('tuesday_medium_room_2_8', 'empty')
('tuesday_medium_room_2_9', 'empty')
('tuesday_medium_room_2_10', 'empty')
('tuesday_medium_room_2_11', 'empty')
('tuesday_medium_room_2_12', 'empty')
('tuesday_medium_room_2_13', 'empty')
('tuesday_medium_room_2_14', 'empty')
('tuesday_medium_room_2_15', 'empty')
('tuesday_medium_room_2_16', 'empty')
('tuesday_medium_room_2_17', 'empty')
('tuesday_medium_room_2_18', 'empty')
('tuesday_medium_room_2_19', 'empty')
('tuesday_medium_room_2_20', 'empty')
('tuesday_big_room_1_8', 'empty')
('tuesday_big_room_1_9', 'empty')
('tuesday_big_room_1_10', 'empty')
('tuesday_big_room_1_11', 'empty')
('tuesday_big_room_1_12', 'empty')
('tuesday_big_room_1_13', 'empty')
('tuesday_big_room_1_14', 'empty')
('tuesday_big_room_1_15', 'empty')
('tuesday_big_room_1_16', 'empty')
('tuesday_big_room_1_17', 'empty')
('tuesday_big_room_1_18', 'empty')
('tuesday_big_room_1_19', 'empty')
('tuesday_big_room_1_20', 'empty')
('wednesday_small_room_1_8', 'empty')
('wednesday_small_room_1_9', 'empty')
('wednesday_small_room_1_10', 'empty')
('wednesday_small_room_1_11', 'empty')
('wednesday_small_room_1_12', 'empty')
('wednesday_small_room_1_13', 'empty')
('wednesday_small_room_1_14', 'empty')
('wednesday_small_room_1_15', 'empty')
('wednesday_small_room_1_16', 'empty')
('wednesday_small_room_1_17', 'empty')
('wednesday_small_room_1_18', 'empty')
('wednesday_small_room_1_19', 'empty')
('wednesday_small_room_1_20', 'empty')
('wednesday_medium_room_1_8', 'empty')
('wednesday_medium_room_1_9', 'empty')
('wednesday_medium_room_1_10', 'empty')
('wednesday_medium_room_1_11', 'empty')
('wednesday_medium_room_1_12', 'empty')
('wednesday_medium_room_1_13', 'empty')
('wednesday_medium_room_1_14', 'empty')
('wednesday_medium_room_1_15', 'empty')
('wednesday_medium_room_1_16', 'empty')
('wednesday_medium_room_1_17', 'empty')
('wednesday_medium_room_1_18', 'empty')
('wednesday_medium_room_1_19', 'empty')
('wednesday_medium_room_1_20', 'empty')
('wednesday_medium_room_2_8', 'empty')
('wednesday_medium_room_2_9', 'empty')
('wednesday_medium_room_2_10', 'empty')
('wednesday_medium_room_2_11', 'empty')
('wednesday_medium_room_2_12', 'empty')
('wednesday_medium_room_2_13', 'empty')
('wednesday_medium_room_2_14', 'empty')
('wednesday_medium_room_2_15', 'empty')
('wednesday_medium_room_2_16', 'empty')
('wednesday_medium_room_2_17', 'empty')
('wednesday_medium_room_2_18', 'empty')
('wednesday_medium_room_2_19', 'empty')
('wednesday_medium_room_2_20', 'empty')
('wednesday_big_room_1_8', 'empty')
('wednesday_big_room_1_9', 'empty')
('wednesday_big_room_1_10', 'empty')
('wednesday_big_room_1_11', 'empty')
('wednesday_big_room_1_12', 'empty')
('wednesday_big_room_1_13', 'empty')
('wednesday_big_room_1_14', 'empty')
('wednesday_big_room_1_15', 'empty')
('wednesday_big_room_1_16', 'empty')
('wednesday_big_room_1_17', 'empty')
('wednesday_big_room_1_18', 'empty')
('wednesday_big_room_1_19', 'empty')
('wednesday_big_room_1_20', 'empty')
